"Time","CV_VL_CALC","CV_VL_MAP"
2024-11-28 19:15:00,46.5,49.5
2024-11-28 19:20:00,45.8,49.5
2024-11-28 19:25:00,45.2,48.2
2024-11-28 19:30:00,43.3,44.4
2024-11-28 19:35:00,44.6,44.3
2024-11-28 19:40:00,44.0,44.3
2024-11-28 19:45:00,44.6,44.3
2024-11-28 19:50:00,44.1,44.4
2024-11-28 19:55:00,40.8,40.6
2024-11-28 20:00:00,41.5,41.7
2024-11-28 20:05:00,41.5,41.8
2024-11-28 20:10:00,40.9,41.8
2024-11-28 20:15:00,41.6,41.7
2024-11-28 20:20:00,41.7,41.7
2024-11-28 20:25:00,39.7,43.1
2024-11-28 20:30:00,37.8,38.6
2024-11-28 20:35:00,37.8,38.6
2024-11-28 20:40:00,37.2,38.6
2024-11-28 20:45:00,37.1,38.6
2024-11-28 20:50:00,37.2,38.6
2024-11-28 20:55:00,37.0,40.6
2024-11-28 21:00:00,35.2,35.5
2024-11-28 21:05:00,34.6,35.5
2024-11-28 21:10:00,35.6,35.5
2024-11-28 21:15:00,35.2,35.5
2024-11-28 21:20:00,35.3,35.5
2024-11-28 21:25:00,33.2,36.5
2024-11-28 21:30:00,31.5,31.5
2024-11-28 21:35:00,29.6,32.5
2024-11-28 21:40:00,27.8,27.8
2024-11-28 21:45:00,28.3,27.8
2024-11-28 21:50:00,26.4,28.8
2024-11-28 21:55:00,24.0,23.5
2024-11-28 22:00:00,24.4,23.5
2024-11-28 22:05:00,24.0,23.5
2024-11-28 22:10:00,20.2,23.5
2024-11-28 22:15:00,20.2,17.4
2024-11-28 22:20:00,18.4,17.4
2024-11-28 22:25:00,16.0,17.4
2024-11-28 22:30:00,13.3,12.7
2024-11-28 22:35:00,13.9,12.7
2024-11-28 22:40:00,12.0,12.7
2024-11-28 22:45:00,11.4,12.7
2024-11-28 22:50:00,11.4,12.7
2024-11-28 22:55:00,10.4,9.91
2024-11-28 23:00:00,10.1,9.91
2024-11-28 23:05:00,10.7,9.91
2024-11-28 23:10:00,8.86,9.39
2024-11-28 23:15:00,8.20,7.57
2024-11-28 23:20:00,7.58,7.57
2024-11-28 23:25:00,6.95,6.79
2024-11-28 23:30:00,6.94,6.79
2024-11-28 23:35:00,6.34,6.68
2024-11-28 23:40:00,3.77,4.12
2024-11-28 23:45:00,3.78,4.11
2024-11-28 23:50:00,3.78,4.12
2024-11-28 23:55:00,4.07,4.11
2024-11-29 00:00:00,3.77,4.12
2024-11-29 00:05:00,3.77,3.46
2024-11-29 00:10:00,3.77,3.46
2024-11-29 00:15:00,3.13,3.46
2024-11-29 00:20:00,3.12,3.21
2024-11-29 00:25:00,3.13,3.21
2024-11-29 00:30:00,2.51,2.71
2024-11-29 00:35:00,2.79,2.71
2024-11-29 00:40:00,1.79,0.905
2024-11-29 00:45:00,1.22,0.909
2024-11-29 00:50:00,1.23,0.900
2024-11-29 00:55:00,1.81,0.904
2024-11-29 01:00:00,1.22,0.899
2024-11-29 01:05:00,1.23,0.907
2024-11-29 01:10:00,1.85,0.909
2024-11-29 01:15:00,1.23,0.888
2024-11-29 01:20:00,0,0.903
2024-11-29 01:25:00,0,0.899
2024-11-29 01:30:00,1.86,0.904
2024-11-29 01:35:00,2.97,2.69
2024-11-29 01:40:00,1.85,1.26
2024-11-29 01:45:00,3.12,3.01
2024-11-29 01:50:00,2.57,3.01
2024-11-29 01:55:00,3.10,3.21
2024-11-29 02:00:00,3.10,3.46
2024-11-29 02:05:00,3.52,3.46
2024-11-29 02:10:00,3.72,4.11
2024-11-29 02:15:00,4.34,5.77
2024-11-29 02:20:00,6.73,6.38
2024-11-29 02:25:00,6.20,6.38
2024-11-29 02:30:00,6.82,6.68
2024-11-29 02:35:00,6.82,6.68
2024-11-29 02:40:00,6.83,6.88
2024-11-29 02:45:00,7.41,7.74
2024-11-29 02:50:00,6.87,7.74
2024-11-29 02:55:00,8.67,9.89
2024-11-29 03:00:00,8.06,8.09
2024-11-29 03:05:00,8.26,8.09
2024-11-29 03:10:00,8.63,8.09
2024-11-29 03:15:00,8.68,8.09
2024-11-29 03:20:00,9.70,10.9
2024-11-29 03:25:00,9.93,10.9
2024-11-29 03:30:00,9.92,10.9
2024-11-29 03:35:00,9.59,10.9
2024-11-29 03:40:00,9.28,10.9
2024-11-29 03:45:00,9.27,10.9
2024-11-29 03:50:00,11.6,10.9
2024-11-29 03:55:00,11.7,15.0
2024-11-29 04:00:00,13.6,15.0
2024-11-29 04:05:00,16.5,18.5
2024-11-29 04:10:00,16.7,18.4
2024-11-29 04:15:00,16.1,18.4
2024-11-29 04:20:00,19.3,18.5
2024-11-29 04:25:00,19.2,18.4
2024-11-29 04:30:00,19.3,18.4
2024-11-29 04:35:00,19.2,18.4
2024-11-29 04:40:00,19.2,18.4
2024-11-29 04:45:00,19.2,18.4
2024-11-29 04:50:00,19.2,18.4
2024-11-29 04:55:00,22.3,25.9
2024-11-29 05:00:00,22.3,25.9
2024-11-29 05:05:00,22.3,25.9
2024-11-29 05:10:00,26.0,25.9
2024-11-29 05:15:00,26.7,26.9
2024-11-29 05:20:00,29.2,32.5
2024-11-29 05:25:00,31.7,32.4
2024-11-29 05:30:00,34.9,38.5
2024-11-29 05:35:00,34.9,38.5
2024-11-29 05:40:00,40.7,42.9
2024-11-29 05:45:00,42.0,43.9
2024-11-29 05:50:00,42.0,44.2
2024-11-29 05:55:00,42.0,44.2
2024-11-29 06:00:00,45.9,46.8
2024-11-29 06:05:00,47.8,51.0
2024-11-29 06:10:00,55.5,56.7
2024-11-29 06:15:00,57.8,57.8
2024-11-29 06:20:00,62.4,63.3
2024-11-29 06:25:00,66.0,64.4
2024-11-29 06:30:00,67.7,66.7
2024-11-29 06:35:00,71.4,71.1
2024-11-29 06:40:00,70.7,71.1
2024-11-29 06:45:00,74.9,73.3
2024-11-29 06:50:00,79.3,80.9
2024-11-29 06:55:00,77.9,76.5
2024-11-29 07:00:00,77.9,76.6
2024-11-29 07:05:00,79.8,80.9
2024-11-29 07:10:00,79.6,81.0
2024-11-29 07:15:00,80.1,81.0
2024-11-29 07:20:00,82.8,84.2
2024-11-29 07:25:00,83.2,84.3
2024-11-29 07:30:00,87.2,87.5
2024-11-29 07:35:00,83.4,82.0
2024-11-29 07:40:00,89.6,83.2
2024-11-29 07:45:00,87.7,87.5
2024-11-29 07:50:00,87.7,87.5
2024-11-29 07:55:00,86.4,84.2
2024-11-29 08:00:00,86.1,84.2
2024-11-29 08:05:00,90.3,89.7
2024-11-29 08:10:00,90.1,89.7
2024-11-29 08:15:00,88.1,88.6
2024-11-29 08:20:00,87.4,87.5
2024-11-29 08:25:00,86.0,86.4
2024-11-29 08:30:00,86.1,86.4
2024-11-29 08:35:00,86.6,86.4
2024-11-29 08:40:00,86.6,86.4
2024-11-29 08:45:00,85.3,86.4
2024-11-29 08:50:00,83.1,82.0
2024-11-29 08:55:00,83.1,82.1
2024-11-29 09:00:00,0,0
2024-11-29 09:05:00,81.8,81.0
2024-11-29 09:10:00,81.1,81.0
2024-11-29 09:15:00,81.2,81.0
2024-11-29 09:20:00,81.7,81.0
2024-11-29 09:25:00,76.6,75.5
2024-11-29 09:30:00,81.2,81.0
2024-11-29 09:35:00,22.2,26.9
2024-11-29 09:40:00,0,0
2024-11-29 09:45:00,0,0
2024-11-29 09:50:00,46.2,48.1
2024-11-29 09:55:00,72.4,76.6
2024-11-29 10:00:00,81.5,86.5
2024-11-29 10:05:00,86.9,85.4
2024-11-29 10:10:00,81.5,85.4
2024-11-29 10:15:00,81.2,86.5
2024-11-29 10:20:00,81.4,86.5
2024-11-29 10:25:00,80.9,81.0
2024-11-29 10:30:00,75.8,81.1
2024-11-29 10:35:00,77.1,76.7
2024-11-29 10:40:00,77.6,76.7
2024-11-29 10:45:00,72.5,77.8
2024-11-29 10:50:00,72.5,71.2
2024-11-29 10:55:00,71.9,71.2
2024-11-29 11:00:00,69.7,74.5
2024-11-29 11:05:00,69.1,67.9
2024-11-29 11:10:00,64.1,70.1
2024-11-29 11:15:00,64.2,70.1
2024-11-29 11:20:00,64.1,70.1
2024-11-29 11:25:00,63.9,63.6
2024-11-29 11:30:00,57.9,63.6
2024-11-29 11:35:00,57.9,64.7
2024-11-29 11:40:00,58.0,64.7
2024-11-29 11:45:00,57.7,63.6
2024-11-29 11:50:00,57.5,63.6
2024-11-29 11:55:00,56.9,58.1
2024-11-29 12:00:00,53.8,54.3
2024-11-29 12:05:00,50.1,55.1
2024-11-29 12:10:00,49.5,51.2
2024-11-29 12:15:00,49.5,51.2
2024-11-29 12:20:00,45.2,51.2
2024-11-29 12:25:00,45.2,51.2
2024-11-29 12:30:00,45.2,51.2
2024-11-29 12:35:00,45.2,48.4
2024-11-29 12:40:00,43.4,49.6
2024-11-29 12:45:00,42.7,43.3
2024-11-29 12:50:00,37.9,38.8
2024-11-29 12:55:00,37.8,39.9
2024-11-29 13:00:00,37.9,39.8
2024-11-29 13:05:00,35.6,39.8
2024-11-29 13:10:00,34.3,35.7
2024-11-29 13:15:00,31.8,35.8
2024-11-29 13:20:00,31.4,35.8
2024-11-29 13:25:00,30.1,30.0
2024-11-29 13:30:00,0,0
2024-11-29 13:35:00,0,0
2024-11-29 13:40:00,0,0
2024-11-29 13:45:00,0,0
2024-11-29 13:50:00,6.65,6.79
2024-11-29 13:55:00,12.8,15.3
2024-11-29 14:00:00,14.7,15.3
2024-11-29 14:05:00,12.9,15.3
2024-11-29 14:10:00,13.4,15.3
2024-11-29 14:15:00,12.8,15.3
2024-11-29 14:20:00,14.0,13.8
2024-11-29 14:25:00,12.3,14.5
2024-11-29 14:30:00,12.8,15.3
2024-11-29 14:35:00,12.3,15.3
2024-11-29 14:40:00,14.5,14.5
2024-11-29 14:45:00,15.0,14.5
2024-11-29 14:50:00,12.3,15.3
2024-11-29 14:55:00,14.5,14.5
2024-11-29 15:00:00,12.2,14.5
2024-11-29 15:05:00,12.2,15.3
2024-11-29 15:10:00,12.8,15.3
2024-11-29 15:15:00,13.1,15.3
2024-11-29 15:20:00,12.8,15.3
2024-11-29 15:25:00,12.8,15.3
2024-11-29 15:30:00,13.4,15.3
2024-11-29 15:35:00,12.8,15.3
2024-11-29 15:40:00,13.4,15.3
2024-11-29 15:45:00,13.1,15.3
2024-11-29 15:50:00,12.9,15.3
2024-11-29 15:55:00,12.8,15.3
2024-11-29 16:00:00,13.1,15.2
2024-11-29 16:05:00,13.4,15.2
2024-11-29 16:10:00,13.4,15.2
2024-11-29 16:15:00,13.4,15.2
2024-11-29 16:20:00,13.3,15.2
2024-11-29 16:25:00,12.8,15.2
2024-11-29 16:30:00,13.3,15.2
2024-11-29 16:35:00,13.3,15.2
2024-11-29 16:40:00,13.3,15.2
2024-11-29 16:45:00,13.3,15.1
2024-11-29 16:50:00,13.3,15.1
2024-11-29 16:55:00,13.3,15.1
2024-11-29 17:00:00,13.3,15.1
2024-11-29 17:05:00,13.8,16.7
2024-11-29 17:10:00,12.7,12.8
2024-11-29 17:15:00,13.4,12.8
2024-11-29 17:20:00,13.2,12.8
2024-11-29 17:25:00,14.3,14.4
2024-11-29 17:30:00,12.6,15.1
2024-11-29 17:35:00,12.6,15.1
2024-11-29 17:40:00,12.6,12.0
2024-11-29 17:45:00,13.6,12.8
2024-11-29 17:50:00,13.1,12.8
2024-11-29 17:55:00,14.2,14.4
2024-11-29 18:00:00,14.2,14.4
2024-11-29 18:05:00,11.9,14.4
2024-11-29 18:10:00,12.4,15.1
2024-11-29 18:15:00,12.4,15.1
2024-11-29 18:20:00,12.4,15.1
2024-11-29 18:25:00,12.9,15.1
2024-11-29 18:30:00,12.3,12.0
2024-11-29 18:35:00,12.3,12.0
2024-11-29 18:40:00,12.8,12.8
2024-11-29 18:45:00,13.3,12.8
2024-11-29 18:50:00,13.9,13.6
2024-11-29 18:55:00,11.7,14.3
2024-11-29 19:00:00,11.2,11.0
2024-11-29 19:05:00,12.8,15.1
2024-11-29 19:10:00,12.7,12.0
2024-11-29 19:15:00,12.2,12.0
2024-11-29 19:20:00,12.7,12.0
2024-11-29 19:25:00,12.2,12.0
2024-11-29 19:30:00,12.7,12.0
2024-11-29 19:35:00,12.7,12.0
2024-11-29 19:40:00,12.7,12.0
2024-11-29 19:45:00,12.7,12.0
2024-11-29 19:50:00,12.7,12.0
2024-11-29 19:55:00,12.3,12.0
2024-11-29 20:00:00,12.2,12.0
2024-11-29 20:05:00,12.2,12.0
2024-11-29 20:10:00,12.3,12.0
2024-11-29 20:15:00,12.7,12.0
2024-11-29 20:20:00,12.2,12.0
2024-11-29 20:25:00,12.1,12.0
2024-11-29 20:30:00,12.2,12.0
2024-11-29 20:35:00,12.2,12.0
2024-11-29 20:40:00,12.2,12.0
2024-11-29 20:45:00,12.7,12.0
2024-11-29 20:50:00,12.2,12.0
2024-11-29 20:55:00,12.5,12.0
2024-11-29 21:00:00,12.7,12.0
2024-11-29 21:05:00,12.6,12.0
2024-11-29 21:10:00,12.3,12.0
2024-11-29 21:15:00,12.7,12.0
2024-11-29 21:20:00,12.3,12.0
2024-11-29 21:25:00,12.2,12.0
2024-11-29 21:30:00,12.2,12.0
2024-11-29 21:35:00,12.2,12.0
2024-11-29 21:40:00,12.4,12.0
2024-11-29 21:45:00,12.3,12.0
2024-11-29 21:50:00,12.2,12.0
2024-11-29 21:55:00,12.2,12.0
2024-11-29 22:00:00,12.2,12.0
2024-11-29 22:05:00,12.2,12.0
2024-11-29 22:10:00,12.3,12.0
2024-11-29 22:15:00,12.3,12.0
2024-11-29 22:20:00,12.3,12.0
2024-11-29 22:25:00,12.5,12.0
2024-11-29 22:30:00,12.3,12.0
2024-11-29 22:35:00,12.9,12.8
2024-11-29 22:40:00,11.3,12.8
2024-11-29 22:45:00,12.4,14.3
2024-11-29 22:50:00,12.4,14.3
2024-11-29 22:55:00,12.4,14.3
2024-11-29 23:00:00,12.4,14.3
2024-11-29 23:05:00,10.9,15.0
2024-11-29 23:10:00,12.5,15.1
2024-11-29 23:15:00,12.4,15.1
2024-11-29 23:20:00,12.4,15.0
2024-11-29 23:25:00,12.5,15.1
2024-11-29 23:30:00,12.5,15.1
2024-11-29 23:35:00,12.3,15.1
2024-11-29 23:40:00,12.5,15.0
2024-11-29 23:45:00,12.5,15.0
2024-11-29 23:50:00,12.5,15.1
2024-11-29 23:55:00,12.6,15.0
2024-11-30 00:00:00,12.0,15.1
2024-11-30 00:05:00,12.2,15.1
2024-11-30 00:10:00,12.6,15.0
2024-11-30 00:15:00,12.1,15.1
2024-11-30 00:20:00,12.4,15.0
2024-11-30 00:25:00,12.1,14.3
2024-11-30 00:30:00,11.0,11.0
2024-11-30 00:35:00,12.5,14.3
2024-11-30 00:40:00,12.5,15.0
2024-11-30 00:45:00,12.7,14.3
2024-11-30 00:50:00,12.6,15.0
2024-11-30 00:55:00,12.7,15.1
2024-11-30 01:00:00,12.6,14.3
2024-11-30 01:05:00,11.7,13.5
2024-11-30 01:10:00,13.3,12.8
2024-11-30 01:15:00,11.6,13.5
2024-11-30 01:20:00,13.8,13.6
2024-11-30 01:25:00,12.7,14.3
2024-11-30 01:30:00,12.7,14.3
2024-11-30 01:35:00,12.4,14.3
2024-11-30 01:40:00,12.7,14.3
2024-11-30 01:45:00,12.1,14.3
2024-11-30 01:50:00,14.1,13.5
2024-11-30 01:55:00,12.1,14.3
2024-11-30 02:00:00,12.7,14.3
2024-11-30 02:05:00,12.3,14.3
2024-11-30 02:10:00,12.7,14.3
2024-11-30 02:15:00,12.1,14.3
2024-11-30 02:20:00,12.7,14.3
2024-11-30 02:25:00,12.1,14.3
2024-11-30 02:30:00,12.7,14.3
2024-11-30 02:35:00,12.7,14.3
2024-11-30 02:40:00,12.7,14.3
2024-11-30 02:45:00,12.7,14.3
2024-11-30 02:50:00,12.2,14.3
2024-11-30 02:55:00,12.6,14.3
2024-11-30 03:00:00,12.1,14.3
2024-11-30 03:05:00,12.6,14.3
2024-11-30 03:10:00,12.6,14.3
2024-11-30 03:15:00,12.6,14.3
2024-11-30 03:20:00,12.6,14.3
2024-11-30 03:25:00,12.1,14.3
2024-11-30 03:30:00,12.6,14.3
2024-11-30 03:35:00,12.1,14.3
2024-11-30 03:40:00,12.1,14.3
2024-11-30 03:45:00,12.1,14.4
2024-11-30 03:50:00,12.6,14.3
2024-11-30 03:55:00,11.5,11.0
2024-11-30 04:00:00,12.0,11.4
2024-11-30 04:05:00,12.6,12.0
2024-11-30 04:10:00,12.6,12.0
2024-11-30 04:15:00,12.6,12.0
2024-11-30 04:20:00,12.5,12.0
2024-11-30 04:25:00,12.5,12.0
2024-11-30 04:30:00,12.0,12.0
2024-11-30 04:35:00,10.9,12.8
2024-11-30 04:40:00,11.4,13.6
2024-11-30 04:45:00,11.9,13.6
2024-11-30 04:50:00,10.8,10.5
2024-11-30 04:55:00,11.3,11.0
2024-11-30 05:00:00,12.4,12.0
2024-11-30 05:05:00,10.7,9.96
2024-11-30 05:10:00,11.8,13.6
2024-11-30 05:15:00,11.7,13.6
2024-11-30 05:20:00,10.6,10.5
2024-11-30 05:25:00,12.2,14.3
2024-11-30 05:30:00,11.7,13.5
2024-11-30 05:35:00,11.6,13.6
2024-11-30 05:40:00,11.6,13.6
2024-11-30 05:45:00,11.6,13.6
2024-11-30 05:50:00,11.6,13.6
2024-11-30 05:55:00,11.6,13.6
2024-11-30 06:00:00,11.6,13.6
2024-11-30 06:05:00,11.5,13.5
2024-11-30 06:10:00,11.5,13.6
2024-11-30 06:15:00,10.4,10.5
2024-11-30 06:20:00,12.0,14.3
2024-11-30 06:25:00,11.5,11.0
2024-11-30 06:30:00,11.4,11.0
2024-11-30 06:35:00,11.9,11.0
2024-11-30 06:40:00,11.4,11.0
2024-11-30 06:45:00,11.4,11.0
2024-11-30 06:50:00,9.80,12.0
2024-11-30 06:55:00,9.79,9.46
2024-11-30 07:00:00,11.3,12.8
2024-11-30 07:05:00,13.4,12.8
2024-11-30 07:10:00,10.3,10.5
2024-11-30 07:15:00,12.3,14.3
2024-11-30 07:20:00,10.2,10.5
2024-11-30 07:25:00,10.7,10.5
2024-11-30 07:30:00,11.4,11.0
2024-11-30 07:35:00,11.2,11.0
2024-11-30 07:40:00,11.2,11.0
2024-11-30 07:45:00,12.2,12.0
2024-11-30 07:50:00,10.7,12.8
